"id","fqdn/ip","port","severity","finding","cve","cwe"
"TLS_timestamp","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","random","",""
"certificate_compression","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","none","",""
"clientAuth","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","none","",""
"cert_numbers","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","1","",""
"cert_signatureAlgorithm","agences.hydrogeotechnique.com/109.234.164.174","443","OK","SHA256 with RSA","",""
"cert_keySize","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","05A1895EC43DBBA3956922B4A03EAFFD92B2","",""
"cert_serialNumberLen","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","18","",""
"cert_fingerprintSHA1","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","B28BFA05DFB2529A0176174CBCA5C062C057BCC9","",""
"cert_fingerprintSHA256","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","7184134F5E2FCDC1654146EE1D3E92BF05C9B7BAC29490E461EE3342092B19FC","",""
"cert","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCA/6gAwIBAgISBaGJXsQ9u6OVaSK0oD6v/ZKyMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNjA2MTIyMTQzWhcNMjUwOTA0MTIyMTQyWjAoMSYwJAYDVQQDEx1hZ2VuY2VzLmh5ZHJvZ2VvdGVjaG5pcXVlLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMSsIgLLu4NRgFuwRDfuRH/JEOrm4hy87B7mwO6A3KnsdWl6agCt7JW2qgmofL9ANcZvZXHfMJtg8kflT/4yg9H4TTV5sxaEOgrlc61/Io1z0WGEdPihG10Wy1gbDLdklKoWFDmLdUMU1K4rH+3w0CaBmxzvTF9Jnj8Pfggg24B77KQk0qPdhnj2JqQJcc4JwWLeVnhpat1ZiU65GICPc+CKt4PX5dcbDQjIvEToraHB3QeB0KEDIIEEYIL2SktXnIyumrl5wKgbq7FLHUt2tLyiMKMwbHxXF/DlJRs1NgUlkj8ZJOGWKHfTMOpFW3QHebezjI03HqgZGKUlUwCEHHsCAwEAAaOCAi0wggIpMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU/mDiXUuD4kqQQXkqwYBJNQJ4cgUwHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzAoBgNVHREEITAfgh1hZ2VuY2VzLmh5ZHJvZ2VvdGVjaG5pcXVlLmNvbTATBgNVHSAEDDAKMAgGBmeBDAECATAuBgNVHR8EJzAlMCOgIaAfhh1odHRwOi8vcjEwLmMubGVuY3Iub3JnLzUxLmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AN3cyjSV1+EWBeeVMvrHn/g9HFDf2wA6FBJ2Ciysu8gqAAABl0VmL10AAAQDAEcwRQIgHq3bG4EeR8fnD2dkg4H+vyjddKsMCMSBtlmEJ7g1WLACIQDT0ex7t2CqKXv0LuevCHkX2PQd+HzMQ/PK3szI58+MIQB2AMz7D2qFcQll/pWbU87psnwi6YVcDZeNtql+VMD+TA2wAAABl0VmNvIAAAQDAEcwRQIhAO2EOmUoTDoOUJM+2b6c3TB/4sRWuXOwQKlYgHbL/cfPAiA4PyPIRl25rDyQpUjFHnJzmEVDwpGEKJfK53jfX//gFzANBgkqhkiG9w0BAQsFAAOCAQEAsSXEZeFv6H0xu0uWFFAt+nGSRE1bsWbg4IYinlVYhGdPdDUWQuABYHgwdi3bheObwh2UI4SA0cIVP7dfeEFosa2ri9TZvoKF257jBmWQEiqoYaMWtl03hi9bBYX64P03syS0GSOkYjjx0L/beU4X4RqW5sAvhTObreOjMVMYZSmYfK9H3q33WdmmbKGhmQx7+/sSWGIBLZzKxc/R1+MKBrLUqaPdM1c4zlvZIeIdjHP75jCNKU3AqhsVKnups9ErS9GeMNB0Au1yLS1hrhr5BlOeUnCqeyMH6P+pfhIhtpN4kGSpddW95CtnjXkC+xbdVzuHEk9XIzIxxS4nuaaNpw==\n-----END CERTIFICATE-----","",""
"cert_commonName","agences.hydrogeotechnique.com/109.234.164.174","443","OK","agences.hydrogeotechnique.com","",""
"cert_commonName_wo_SNI","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","autoconfig.pulp.o2switch.net","",""
"cert_subjectAltName","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","agences.hydrogeotechnique.com","",""
"cert_trust","agences.hydrogeotechnique.com/109.234.164.174","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","agences.hydrogeotechnique.com/109.234.164.174","443","OK","passed.","",""
"cert_certificatePolicies_EV","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","no","",""
"cert_expirationStatus","agences.hydrogeotechnique.com/109.234.164.174","443","OK","78 >= 30 days","",""
"cert_notBefore","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","2025-06-06 12:21","",""
"cert_notAfter","agences.hydrogeotechnique.com/109.234.164.174","443","OK","2025-09-04 12:21","",""
"cert_extlifeSpan","agences.hydrogeotechnique.com/109.234.164.174","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not present","",""
"cert_crlDistributionPoints","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","http://r10.c.lencr.org/51.crl","",""
"cert_ocspURL","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","--","",""
"OCSP_stapling","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not offered","",""
"cert_mustStapleExtension","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","--","",""
"DNS_CAArecord","agences.hydrogeotechnique.com/109.234.164.174","443","LOW","--","",""
"certificate_transparency","agences.hydrogeotechnique.com/109.234.164.174","443","OK","yes (certificate extension)","",""
"certs_countServer","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","2","",""
"certs_list_ordering_problem","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","no","",""
"cert_caIssuers","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","R10 (Let's Encrypt from US)","",""
