"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.hydrogeotechnique.com/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","api.hydrogeotechnique.com/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.hydrogeotechnique.com/109.232.233.130","443","OK","not offered","",""
"SSLv3","api.hydrogeotechnique.com/109.232.233.130","443","OK","not offered","",""
"TLS1","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","api.hydrogeotechnique.com/109.232.233.130","443","OK","offered","",""
"TLS1_3","api.hydrogeotechnique.com/109.232.233.130","443","OK","offered with final","",""
"NPN","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not offered","",""
"ALPN_HTTP2","api.hydrogeotechnique.com/109.232.233.130","443","OK","h2","",""
"ALPN","api.hydrogeotechnique.com/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","api.hydrogeotechnique.com/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.hydrogeotechnique.com/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.hydrogeotechnique.com/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.hydrogeotechnique.com/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.hydrogeotechnique.com/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","api.hydrogeotechnique.com/109.232.233.130","443","OK","server","",""
"cipher-tls1_2_xc030","api.hydrogeotechnique.com/109.232.233.130","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","api.hydrogeotechnique.com/109.232.233.130","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","api.hydrogeotechnique.com/109.232.233.130","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","api.hydrogeotechnique.com/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","api.hydrogeotechnique.com/109.232.233.130","443","OK","server","",""
"cipher-tls1_3_x1302","api.hydrogeotechnique.com/109.232.233.130","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","api.hydrogeotechnique.com/109.232.233.130","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","api.hydrogeotechnique.com/109.232.233.130","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","api.hydrogeotechnique.com/109.232.233.130","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","api.hydrogeotechnique.com/109.232.233.130","443","INFO","false","",""
"cipher_order","api.hydrogeotechnique.com/109.232.233.130","443","OK","server","",""
"FS","api.hydrogeotechnique.com/109.232.233.130","443","OK","offered","",""
"FS_ciphers","api.hydrogeotechnique.com/109.232.233.130","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","api.hydrogeotechnique.com/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","api.hydrogeotechnique.com/109.232.233.130","443","OK","Unknown DH group (2048 bits)","",""
"FS_TLS12_sig_algs","api.hydrogeotechnique.com/109.232.233.130","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","api.hydrogeotechnique.com/109.232.233.130","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","api.hydrogeotechnique.com/109.232.233.130","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","api.hydrogeotechnique.com/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","api.hydrogeotechnique.com/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","api.hydrogeotechnique.com/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","api.hydrogeotechnique.com/109.232.233.130","443","INFO","supported","",""
"TLS_timestamp","api.hydrogeotechnique.com/109.232.233.130","443","INFO","random","",""
"certificate_compression","api.hydrogeotechnique.com/109.232.233.130","443","INFO","none","",""
"clientAuth","api.hydrogeotechnique.com/109.232.233.130","443","INFO","none","",""
"cert_numbers","api.hydrogeotechnique.com/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","api.hydrogeotechnique.com/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","api.hydrogeotechnique.com/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.hydrogeotechnique.com/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.hydrogeotechnique.com/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.hydrogeotechnique.com/109.232.233.130","443","INFO","059DFCC26FF5E31EDD36FA24BAB074534D98","",""
"cert_serialNumberLen","api.hydrogeotechnique.com/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","api.hydrogeotechnique.com/109.232.233.130","443","INFO","8B4E37D5C24CD8ED9E44CB2C43706A85D4ED8B02","",""
"cert_fingerprintSHA256","api.hydrogeotechnique.com/109.232.233.130","443","INFO","BA2B3C2F9760F47ABE5206EF03A17CD615EAF2253A28F34BF9ABA8C6A79B06D5","",""
