"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"TLS_extensions","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","","",""
"TLS_session_ticket","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","no -- no lifetime advertised","","",""
"SSL_sessionID_support","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","yes","","",""
"sessionresumption_ticket","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not supported","","",""
"sessionresumption_ID","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not supported","","",""
"TLS_timestamp","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","random","","",""
"certificate_compression","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","none","","",""
"clientAuth","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","none","","",""
"cert_numbers","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","1","","",""
"cert_signatureAlgorithm","l.info.mobilierdefrance.com/104.254.152.2","443","OK","SHA256 with RSA","","",""
"cert_keySize","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","RSA 2048 bits (exponent is 65537)","","",""
"cert_keyUsage","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","Digital Signature, Key Encipherment","","",""
"cert_extKeyUsage","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","","",""
"cert_serialNumber","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","05F352DB8997C6216D041435E31081EF0C3B","","",""
"cert_serialNumberLen","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","18","","",""
"cert_fingerprintSHA1","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","B5F6DE8D5772F4AE87F5D00A43F30AE100812A72","","",""
"cert_fingerprintSHA256","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","6768B74CB2EE6F47CDFF421F4779F8B3C8F345C6129749E3C94CF5AAA45F5325","","",""
